hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100030c882a000a0000026,2,0,0,174
0250401074100030c882a000a0000026,2,0,1,179
0250401074100030c882a000a0000026,2,0,2,176
0250401074100030c882a000a0000026,2,0,3,1149
0250401074100030c882a000a0000026,2,0,4,179
0250401074100030c882a000a0000026,2,0,5,1147
0250401074100030c882a000a0000026,2,0,6,173
0250401074100030c882a000a0000026,2,0,7,174
0250401074100030c882a000a0000026,2,0,8,174
0250401074100030c882a000a0000026,2,0,9,1149
0250401074100030c882a000a0000026,2,0,10,176
0250401074100030c882a000a0000026,2,0,11,1147
0250401074100030c882a000a0000026,2,0,12,176
0250401074100030c882a000a0000026,2,0,13,1148
0250401074100030c882a000a0000026,2,0,14,178
0250401074100030c882a000a0000026,2,0,15,174
0250401074100030c882a000a0000026,2,0,16,176
0250401074100030c882a000a0000026,2,0,17,175
0250401074100030c882a000a0000026,2,0,18,176
0250401074100030c882a000a0000026,2,0,19,176
0250401074100030c882a000a0000026,2,0,20,178
0250401074100030c882a000a0000026,2,0,21,173
0250401074100030c882a000a0000026,2,0,22,176
0250401074100030c882a000a0000026,2,0,23,174
0250401074100030c882a000a0000026,2,0,24,175
0250401074100030c882a000a0000026,2,0,25,175
0250401074100030c882a000a0000026,2,0,26,173
0250401074100030c882a000a0000026,2,0,27,172
0250401074100030c882a000a0000026,2,0,28,174
0250401074100030c882a000a0000026,2,0,29,175
0250401074100030c882a000a0000026,2,0,30,175
0250401074100030c882a000a0000026,2,0,31,178
0250401074100030c882a000a0000026,2,0,32,177
0250401074100030c882a000a0000026,2,0,33,174
0250401074100030c882a000a0000026,2,0,34,175
0250401074100030c882a000a0000026,2,0,35,174
0250401074100030c882a000a0000026,2,0,36,176
0250401074100030c882a000a0000026,2,0,37,176
0250401074100030c882a000a0000026,2,0,38,175
0250401074100030c882a000a0000026,2,0,39,177
0250401074100030c882a000a0000026,2,0,40,177
0250401074100030c882a000a0000026,2,0,41,1150
0250401074100030c882a000a0000026,2,0,42,177
0250401074100030c882a000a0000026,2,0,43,1148
0250401074100030c882a000a0000026,2,0,44,180
0250401074100030c882a000a0000026,2,0,45,1149
0250401074100030c882a000a0000026,2,0,46,183
0250401074100030c882a000a0000026,2,0,47,1150
0250401074100030c882a000a0000026,2,0,48,175
0250401074100030c882a000a0000026,2,0,49,174
0250401074100030c882a000a0000026,2,0,50,1150
0250401074100030c882a000a0000026,2,0,51,175
0250401074100030c882a000a0000026,2,0,52,176
0250401074100030c882a000a0000026,2,0,53,1147
0250401074100030c882a000a0000026,2,0,54,178
0250401074100030c882a000a0000026,2,0,55,174
0250401074100030c882a000a0000026,2,0,56,173
0250401074100030c882a000a0000026,2,0,57,176
0250401074100030c882a000a0000026,2,0,58,175
0250401074100030c882a000a0000026,2,0,59,178
0250401074100030c882a000a0000026,2,0,60,176
0250401074100030c882a000a0000026,2,0,61,1152
0250401074100030c882a000a0000026,2,0,62,178
0250401074100030c882a000a0000026,2,0,63,176
hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100030c882a000a0000026,2,1,0,162
0250401074100030c882a000a0000026,2,1,1,163
0250401074100030c882a000a0000026,2,1,2,167
0250401074100030c882a000a0000026,2,1,3,165
0250401074100030c882a000a0000026,2,1,4,168
0250401074100030c882a000a0000026,2,1,5,168
0250401074100030c882a000a0000026,2,1,6,167
0250401074100030c882a000a0000026,2,1,7,163
0250401074100030c882a000a0000026,2,1,8,168
0250401074100030c882a000a0000026,2,1,9,165
0250401074100030c882a000a0000026,2,1,10,169
0250401074100030c882a000a0000026,2,1,11,167
0250401074100030c882a000a0000026,2,1,12,162
0250401074100030c882a000a0000026,2,1,13,166
0250401074100030c882a000a0000026,2,1,14,162
0250401074100030c882a000a0000026,2,1,15,160
0250401074100030c882a000a0000026,2,1,16,1150
0250401074100030c882a000a0000026,2,1,17,1153
0250401074100030c882a000a0000026,2,1,18,1150
0250401074100030c882a000a0000026,2,1,19,1152
0250401074100030c882a000a0000026,2,1,20,165
0250401074100030c882a000a0000026,2,1,21,1152
0250401074100030c882a000a0000026,2,1,22,176
0250401074100030c882a000a0000026,2,1,23,1149
0250401074100030c882a000a0000026,2,1,24,1155
0250401074100030c882a000a0000026,2,1,25,164
0250401074100030c882a000a0000026,2,1,26,1153
0250401074100030c882a000a0000026,2,1,27,1146
0250401074100030c882a000a0000026,2,1,28,1151
0250401074100030c882a000a0000026,2,1,29,163
0250401074100030c882a000a0000026,2,1,30,1151
0250401074100030c882a000a0000026,2,1,31,166
0250401074100030c882a000a0000026,2,1,32,1150
0250401074100030c882a000a0000026,2,1,33,165
0250401074100030c882a000a0000026,2,1,34,1149
0250401074100030c882a000a0000026,2,1,35,167
0250401074100030c882a000a0000026,2,1,36,167
0250401074100030c882a000a0000026,2,1,37,1149
0250401074100030c882a000a0000026,2,1,38,164
0250401074100030c882a000a0000026,2,1,39,1151
0250401074100030c882a000a0000026,2,1,40,1152
0250401074100030c882a000a0000026,2,1,41,1151
0250401074100030c882a000a0000026,2,1,42,1148
0250401074100030c882a000a0000026,2,1,43,168
0250401074100030c882a000a0000026,2,1,44,169
0250401074100030c882a000a0000026,2,1,45,168
0250401074100030c882a000a0000026,2,1,46,165
0250401074100030c882a000a0000026,2,1,47,167
0250401074100030c882a000a0000026,2,1,48,169
0250401074100030c882a000a0000026,2,1,49,162
0250401074100030c882a000a0000026,2,1,50,165
0250401074100030c882a000a0000026,2,1,51,159
0250401074100030c882a000a0000026,2,1,52,164
0250401074100030c882a000a0000026,2,1,53,165
0250401074100030c882a000a0000026,2,1,54,161
0250401074100030c882a000a0000026,2,1,55,167
0250401074100030c882a000a0000026,2,1,56,164
0250401074100030c882a000a0000026,2,1,57,165
0250401074100030c882a000a0000026,2,1,58,161
0250401074100030c882a000a0000026,2,1,59,166
0250401074100030c882a000a0000026,2,1,60,165
0250401074100030c882a000a0000026,2,1,61,166
0250401074100030c882a000a0000026,2,1,62,165
0250401074100030c882a000a0000026,2,1,63,169
hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100030c043a000a00000c7,2,2,0,172
0250401074100030c043a000a00000c7,2,2,1,166
0250401074100030c043a000a00000c7,2,2,2,165
0250401074100030c043a000a00000c7,2,2,3,169
0250401074100030c043a000a00000c7,2,2,4,171
0250401074100030c043a000a00000c7,2,2,5,165
0250401074100030c043a000a00000c7,2,2,6,171
0250401074100030c043a000a00000c7,2,2,7,165
0250401074100030c043a000a00000c7,2,2,8,171
0250401074100030c043a000a00000c7,2,2,9,168
0250401074100030c043a000a00000c7,2,2,10,168
0250401074100030c043a000a00000c7,2,2,11,167
0250401074100030c043a000a00000c7,2,2,12,167
0250401074100030c043a000a00000c7,2,2,13,163
0250401074100030c043a000a00000c7,2,2,14,168
0250401074100030c043a000a00000c7,2,2,15,166
0250401074100030c043a000a00000c7,2,2,16,166
0250401074100030c043a000a00000c7,2,2,17,167
0250401074100030c043a000a00000c7,2,2,18,168
0250401074100030c043a000a00000c7,2,2,19,170
0250401074100030c043a000a00000c7,2,2,20,167
0250401074100030c043a000a00000c7,2,2,21,163
0250401074100030c043a000a00000c7,2,2,22,166
0250401074100030c043a000a00000c7,2,2,23,166
0250401074100030c043a000a00000c7,2,2,24,167
0250401074100030c043a000a00000c7,2,2,25,165
0250401074100030c043a000a00000c7,2,2,26,170
0250401074100030c043a000a00000c7,2,2,27,167
0250401074100030c043a000a00000c7,2,2,28,166
0250401074100030c043a000a00000c7,2,2,29,167
0250401074100030c043a000a00000c7,2,2,30,166
0250401074100030c043a000a00000c7,2,2,31,170
0250401074100030c043a000a00000c7,2,2,32,168
0250401074100030c043a000a00000c7,2,2,33,166
0250401074100030c043a000a00000c7,2,2,34,164
0250401074100030c043a000a00000c7,2,2,35,167
0250401074100030c043a000a00000c7,2,2,36,169
0250401074100030c043a000a00000c7,2,2,37,168
0250401074100030c043a000a00000c7,2,2,38,169
0250401074100030c043a000a00000c7,2,2,39,166
0250401074100030c043a000a00000c7,2,2,40,167
0250401074100030c043a000a00000c7,2,2,41,167
0250401074100030c043a000a00000c7,2,2,42,169
0250401074100030c043a000a00000c7,2,2,43,169
0250401074100030c043a000a00000c7,2,2,44,166
0250401074100030c043a000a00000c7,2,2,45,166
0250401074100030c043a000a00000c7,2,2,46,167
0250401074100030c043a000a00000c7,2,2,47,163
0250401074100030c043a000a00000c7,2,2,48,167
0250401074100030c043a000a00000c7,2,2,49,168
0250401074100030c043a000a00000c7,2,2,50,167
0250401074100030c043a000a00000c7,2,2,51,168
0250401074100030c043a000a00000c7,2,2,52,165
0250401074100030c043a000a00000c7,2,2,53,166
0250401074100030c043a000a00000c7,2,2,54,168
0250401074100030c043a000a00000c7,2,2,55,165
0250401074100030c043a000a00000c7,2,2,56,169
0250401074100030c043a000a00000c7,2,2,57,167
0250401074100030c043a000a00000c7,2,2,58,167
0250401074100030c043a000a00000c7,2,2,59,168
0250401074100030c043a000a00000c7,2,2,60,167
0250401074100030c043a000a00000c7,2,2,61,171
0250401074100030c043a000a00000c7,2,2,62,170
0250401074100030c043a000a00000c7,2,2,63,168
hybrid_id, fec,vmm,ch, pedestal [mV]
0250401074100030c043a000a00000c7,2,3,0,164
0250401074100030c043a000a00000c7,2,3,1,160
0250401074100030c043a000a00000c7,2,3,2,165
0250401074100030c043a000a00000c7,2,3,3,161
0250401074100030c043a000a00000c7,2,3,4,162
0250401074100030c043a000a00000c7,2,3,5,164
0250401074100030c043a000a00000c7,2,3,6,165
0250401074100030c043a000a00000c7,2,3,7,161
0250401074100030c043a000a00000c7,2,3,8,161
0250401074100030c043a000a00000c7,2,3,9,163
0250401074100030c043a000a00000c7,2,3,10,160
0250401074100030c043a000a00000c7,2,3,11,164
0250401074100030c043a000a00000c7,2,3,12,164
0250401074100030c043a000a00000c7,2,3,13,162
0250401074100030c043a000a00000c7,2,3,14,164
0250401074100030c043a000a00000c7,2,3,15,159
0250401074100030c043a000a00000c7,2,3,16,164
0250401074100030c043a000a00000c7,2,3,17,159
0250401074100030c043a000a00000c7,2,3,18,161
0250401074100030c043a000a00000c7,2,3,19,162
0250401074100030c043a000a00000c7,2,3,20,161
0250401074100030c043a000a00000c7,2,3,21,163
0250401074100030c043a000a00000c7,2,3,22,162
0250401074100030c043a000a00000c7,2,3,23,159
0250401074100030c043a000a00000c7,2,3,24,162
0250401074100030c043a000a00000c7,2,3,25,159
0250401074100030c043a000a00000c7,2,3,26,161
0250401074100030c043a000a00000c7,2,3,27,163
0250401074100030c043a000a00000c7,2,3,28,43
0250401074100030c043a000a00000c7,2,3,29,163
0250401074100030c043a000a00000c7,2,3,30,164
0250401074100030c043a000a00000c7,2,3,31,164
0250401074100030c043a000a00000c7,2,3,32,163
0250401074100030c043a000a00000c7,2,3,33,163
0250401074100030c043a000a00000c7,2,3,34,161
0250401074100030c043a000a00000c7,2,3,35,164
0250401074100030c043a000a00000c7,2,3,36,163
0250401074100030c043a000a00000c7,2,3,37,163
0250401074100030c043a000a00000c7,2,3,38,166
0250401074100030c043a000a00000c7,2,3,39,164
0250401074100030c043a000a00000c7,2,3,40,160
0250401074100030c043a000a00000c7,2,3,41,163
0250401074100030c043a000a00000c7,2,3,42,162
0250401074100030c043a000a00000c7,2,3,43,159
0250401074100030c043a000a00000c7,2,3,44,162
0250401074100030c043a000a00000c7,2,3,45,162
0250401074100030c043a000a00000c7,2,3,46,163
0250401074100030c043a000a00000c7,2,3,47,161
0250401074100030c043a000a00000c7,2,3,48,161
0250401074100030c043a000a00000c7,2,3,49,164
0250401074100030c043a000a00000c7,2,3,50,164
0250401074100030c043a000a00000c7,2,3,51,165
0250401074100030c043a000a00000c7,2,3,52,162
0250401074100030c043a000a00000c7,2,3,53,160
0250401074100030c043a000a00000c7,2,3,54,158
0250401074100030c043a000a00000c7,2,3,55,163
0250401074100030c043a000a00000c7,2,3,56,158
0250401074100030c043a000a00000c7,2,3,57,164
0250401074100030c043a000a00000c7,2,3,58,164
0250401074100030c043a000a00000c7,2,3,59,163
0250401074100030c043a000a00000c7,2,3,60,164
0250401074100030c043a000a00000c7,2,3,61,164
0250401074100030c043a000a00000c7,2,3,62,163
0250401074100030c043a000a00000c7,2,3,63,161
hybrid_id, fec,vmm,ch, pedestal [mV]
025040107410003168d2a000a00000e2,2,4,0,168
025040107410003168d2a000a00000e2,2,4,1,167
025040107410003168d2a000a00000e2,2,4,2,164
025040107410003168d2a000a00000e2,2,4,3,163
025040107410003168d2a000a00000e2,2,4,4,163
025040107410003168d2a000a00000e2,2,4,5,166
025040107410003168d2a000a00000e2,2,4,6,165
025040107410003168d2a000a00000e2,2,4,7,167
025040107410003168d2a000a00000e2,2,4,8,163
025040107410003168d2a000a00000e2,2,4,9,167
025040107410003168d2a000a00000e2,2,4,10,167
025040107410003168d2a000a00000e2,2,4,11,164
025040107410003168d2a000a00000e2,2,4,12,164
025040107410003168d2a000a00000e2,2,4,13,165
025040107410003168d2a000a00000e2,2,4,14,165
025040107410003168d2a000a00000e2,2,4,15,166
025040107410003168d2a000a00000e2,2,4,16,164
025040107410003168d2a000a00000e2,2,4,17,170
025040107410003168d2a000a00000e2,2,4,18,164
025040107410003168d2a000a00000e2,2,4,19,165
025040107410003168d2a000a00000e2,2,4,20,164
025040107410003168d2a000a00000e2,2,4,21,165
025040107410003168d2a000a00000e2,2,4,22,165
025040107410003168d2a000a00000e2,2,4,23,168
025040107410003168d2a000a00000e2,2,4,24,164
025040107410003168d2a000a00000e2,2,4,25,164
