hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100030c882a000a0000026,2,0,0,252
0250401074100030c882a000a0000026,2,0,1,256
0250401074100030c882a000a0000026,2,0,2,253
0250401074100030c882a000a0000026,2,0,3,275
0250401074100030c882a000a0000026,2,0,4,257
0250401074100030c882a000a0000026,2,0,5,275
0250401074100030c882a000a0000026,2,0,6,249
0250401074100030c882a000a0000026,2,0,7,251
0250401074100030c882a000a0000026,2,0,8,251
0250401074100030c882a000a0000026,2,0,9,272
0250401074100030c882a000a0000026,2,0,10,252
0250401074100030c882a000a0000026,2,0,11,278
0250401074100030c882a000a0000026,2,0,12,253
0250401074100030c882a000a0000026,2,0,13,278
0250401074100030c882a000a0000026,2,0,14,254
0250401074100030c882a000a0000026,2,0,15,252
0250401074100030c882a000a0000026,2,0,16,253
0250401074100030c882a000a0000026,2,0,17,251
0250401074100030c882a000a0000026,2,0,18,253
0250401074100030c882a000a0000026,2,0,19,252
0250401074100030c882a000a0000026,2,0,20,254
0250401074100030c882a000a0000026,2,0,21,250
0250401074100030c882a000a0000026,2,0,22,253
0250401074100030c882a000a0000026,2,0,23,251
0250401074100030c882a000a0000026,2,0,24,253
0250401074100030c882a000a0000026,2,0,25,253
0250401074100030c882a000a0000026,2,0,26,251
0250401074100030c882a000a0000026,2,0,27,249
0250401074100030c882a000a0000026,2,0,28,251
0250401074100030c882a000a0000026,2,0,29,252
0250401074100030c882a000a0000026,2,0,30,252
0250401074100030c882a000a0000026,2,0,31,254
0250401074100030c882a000a0000026,2,0,32,254
0250401074100030c882a000a0000026,2,0,33,251
0250401074100030c882a000a0000026,2,0,34,252
0250401074100030c882a000a0000026,2,0,35,250
0250401074100030c882a000a0000026,2,0,36,254
0250401074100030c882a000a0000026,2,0,37,253
0250401074100030c882a000a0000026,2,0,38,252
0250401074100030c882a000a0000026,2,0,39,255
0250401074100030c882a000a0000026,2,0,40,254
0250401074100030c882a000a0000026,2,0,41,275
0250401074100030c882a000a0000026,2,0,42,254
0250401074100030c882a000a0000026,2,0,43,270
0250401074100030c882a000a0000026,2,0,44,257
0250401074100030c882a000a0000026,2,0,45,276
0250401074100030c882a000a0000026,2,0,46,259
0250401074100030c882a000a0000026,2,0,47,272
0250401074100030c882a000a0000026,2,0,48,253
0250401074100030c882a000a0000026,2,0,49,251
0250401074100030c882a000a0000026,2,0,50,274
0250401074100030c882a000a0000026,2,0,51,252
0250401074100030c882a000a0000026,2,0,52,252
0250401074100030c882a000a0000026,2,0,53,273
0250401074100030c882a000a0000026,2,0,54,255
0250401074100030c882a000a0000026,2,0,55,250
0250401074100030c882a000a0000026,2,0,56,251
0250401074100030c882a000a0000026,2,0,57,252
0250401074100030c882a000a0000026,2,0,58,251
0250401074100030c882a000a0000026,2,0,59,255
0250401074100030c882a000a0000026,2,0,60,253
0250401074100030c882a000a0000026,2,0,61,278
0250401074100030c882a000a0000026,2,0,62,255
0250401074100030c882a000a0000026,2,0,63,253
hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100030c882a000a0000026,2,1,0,237
0250401074100030c882a000a0000026,2,1,1,237
0250401074100030c882a000a0000026,2,1,2,241
0250401074100030c882a000a0000026,2,1,3,239
0250401074100030c882a000a0000026,2,1,4,243
0250401074100030c882a000a0000026,2,1,5,243
0250401074100030c882a000a0000026,2,1,6,242
0250401074100030c882a000a0000026,2,1,7,238
0250401074100030c882a000a0000026,2,1,8,243
0250401074100030c882a000a0000026,2,1,9,240
0250401074100030c882a000a0000026,2,1,10,243
0250401074100030c882a000a0000026,2,1,11,242
0250401074100030c882a000a0000026,2,1,12,237
0250401074100030c882a000a0000026,2,1,13,241
0250401074100030c882a000a0000026,2,1,14,237
0250401074100030c882a000a0000026,2,1,15,236
0250401074100030c882a000a0000026,2,1,16,260
0250401074100030c882a000a0000026,2,1,17,267
0250401074100030c882a000a0000026,2,1,18,267
0250401074100030c882a000a0000026,2,1,19,262
0250401074100030c882a000a0000026,2,1,20,240
0250401074100030c882a000a0000026,2,1,21,267
0250401074100030c882a000a0000026,2,1,22,250
0250401074100030c882a000a0000026,2,1,23,259
0250401074100030c882a000a0000026,2,1,24,260
0250401074100030c882a000a0000026,2,1,25,239
0250401074100030c882a000a0000026,2,1,26,263
0250401074100030c882a000a0000026,2,1,27,265
0250401074100030c882a000a0000026,2,1,28,265
0250401074100030c882a000a0000026,2,1,29,237
0250401074100030c882a000a0000026,2,1,30,262
0250401074100030c882a000a0000026,2,1,31,242
0250401074100030c882a000a0000026,2,1,32,260
0250401074100030c882a000a0000026,2,1,33,239
0250401074100030c882a000a0000026,2,1,34,267
0250401074100030c882a000a0000026,2,1,35,242
0250401074100030c882a000a0000026,2,1,36,241
0250401074100030c882a000a0000026,2,1,37,265
0250401074100030c882a000a0000026,2,1,38,239
0250401074100030c882a000a0000026,2,1,39,261
0250401074100030c882a000a0000026,2,1,40,265
0250401074100030c882a000a0000026,2,1,41,259
0250401074100030c882a000a0000026,2,1,42,260
0250401074100030c882a000a0000026,2,1,43,243
0250401074100030c882a000a0000026,2,1,44,244
0250401074100030c882a000a0000026,2,1,45,242
0250401074100030c882a000a0000026,2,1,46,240
0250401074100030c882a000a0000026,2,1,47,241
0250401074100030c882a000a0000026,2,1,48,244
0250401074100030c882a000a0000026,2,1,49,237
0250401074100030c882a000a0000026,2,1,50,241
0250401074100030c882a000a0000026,2,1,51,234
0250401074100030c882a000a0000026,2,1,52,238
0250401074100030c882a000a0000026,2,1,53,240
0250401074100030c882a000a0000026,2,1,54,241
0250401074100030c882a000a0000026,2,1,55,242
0250401074100030c882a000a0000026,2,1,56,238
0250401074100030c882a000a0000026,2,1,57,240
0250401074100030c882a000a0000026,2,1,58,236
0250401074100030c882a000a0000026,2,1,59,241
0250401074100030c882a000a0000026,2,1,60,241
0250401074100030c882a000a0000026,2,1,61,241
0250401074100030c882a000a0000026,2,1,62,240
0250401074100030c882a000a0000026,2,1,63,244
hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100030c043a000a00000c7,2,2,0,255
0250401074100030c043a000a00000c7,2,2,1,250
0250401074100030c043a000a00000c7,2,2,2,248
0250401074100030c043a000a00000c7,2,2,3,252
0250401074100030c043a000a00000c7,2,2,4,254
0250401074100030c043a000a00000c7,2,2,5,248
0250401074100030c043a000a00000c7,2,2,6,253
0250401074100030c043a000a00000c7,2,2,7,247
0250401074100030c043a000a00000c7,2,2,8,254
0250401074100030c043a000a00000c7,2,2,9,250
0250401074100030c043a000a00000c7,2,2,10,251
0250401074100030c043a000a00000c7,2,2,11,250
0250401074100030c043a000a00000c7,2,2,12,250
0250401074100030c043a000a00000c7,2,2,13,246
0250401074100030c043a000a00000c7,2,2,14,251
0250401074100030c043a000a00000c7,2,2,15,248
0250401074100030c043a000a00000c7,2,2,16,250
0250401074100030c043a000a00000c7,2,2,17,249
0250401074100030c043a000a00000c7,2,2,18,250
0250401074100030c043a000a00000c7,2,2,19,253
0250401074100030c043a000a00000c7,2,2,20,250
0250401074100030c043a000a00000c7,2,2,21,246
0250401074100030c043a000a00000c7,2,2,22,250
0250401074100030c043a000a00000c7,2,2,23,248
0250401074100030c043a000a00000c7,2,2,24,249
0250401074100030c043a000a00000c7,2,2,25,248
0250401074100030c043a000a00000c7,2,2,26,252
0250401074100030c043a000a00000c7,2,2,27,250
0250401074100030c043a000a00000c7,2,2,28,249
0250401074100030c043a000a00000c7,2,2,29,250
0250401074100030c043a000a00000c7,2,2,30,249
0250401074100030c043a000a00000c7,2,2,31,252
0250401074100030c043a000a00000c7,2,2,32,251
0250401074100030c043a000a00000c7,2,2,33,249
0250401074100030c043a000a00000c7,2,2,34,247
0250401074100030c043a000a00000c7,2,2,35,250
0250401074100030c043a000a00000c7,2,2,36,252
0250401074100030c043a000a00000c7,2,2,37,251
0250401074100030c043a000a00000c7,2,2,38,252
0250401074100030c043a000a00000c7,2,2,39,248
0250401074100030c043a000a00000c7,2,2,40,250
0250401074100030c043a000a00000c7,2,2,41,250
0250401074100030c043a000a00000c7,2,2,42,252
0250401074100030c043a000a00000c7,2,2,43,252
0250401074100030c043a000a00000c7,2,2,44,249
0250401074100030c043a000a00000c7,2,2,45,249
